ticker,as_of,current_revenue_ttm,current_market_cap,current_ps,hist_median_ps,hist_p75_ps,hist_p90_ps,forward_revenue_estimate,forward_revenue_growth,forward_ps,required_revenue,required_growth,growth_gap,years_to_normalise,expectations_burden_score,expectations_classification,plain_explanation,target_multiple_value,target_multiple_label,valuation_anchor_confidence,valuation_anchor_observation_count,revenue_data_cadence,gross_margin,operating_margin,net_margin,net_debt_to_ebitda,interest_coverage,free_cash_flow_ttm,fcf_margin,cash_conversion,quality_flag,revenue_currency,price_currency,fx_rate_applied,currency_note,revenue_cagr_3y,revenue_cagr_5y,roic,share_count_cagr_3y,buybacks_ttm,dividends_ttm,acquisitions_ttm,price_return_6m,benchmark_symbol,benchmark_return_6m,relative_strength_6m,eps_revisions_up_30d,eps_revisions_down_30d,owner_earnings_ttm,owner_earnings_yield,maintenance_capex_ttm,owner_earnings_method,price_cagr_3y,market_cap_cagr_3y,multiple_expansion_gap_3y,anti_bubble_flag,anti_bubble_note,roic_avg_3y,roic_trend,roic_persistence_score,roic_persistence_label,is_mature_company,owner_earnings_richness_score,valuation_burden_score_blended,valuation_pillar,allocation_classification,allocation_multiplier,expected_cagr,expected_cagr_growth_component,expected_cagr_income_component,expected_cagr_reversion_component,buy_priority_score,section,section_target_pct,layer,portfolio_weight,thesis
TPL,2026-08-17T07:15:51.673651+00:00,897541000.0,24728801280.0,27.551723297320123,31.29271170851929,32.771565815573325,34.98725853119642,1094000000.0,0.21888582248610366,22.60402310786106,823168290.4293396,-0.08286274339630206,-0.30174856588240573,0.0,0.0,Forward Expectations Elevated,"Already trades at or below its historical valuation norm (needs 0% growth) -- 22% forecast growth would be upside on top of an already-fair price. Mature-company read: owner earnings yield (2.2%) is blended 50/50 with the P/S growth-gap for the final classification, since revenue growth alone is a weak value driver here.",30.041003240178515,Historical Median Tactical Anchor (ROIC-adjusted),low,5,quarterly,0.8580755642360628,0.7492493379132541,0.6032214684343111,,342.2300254452926,75998000.0,0.0846735692297065,0.1403689584349188,Solid,USD,USD,1.0,,0.061455817167499704,,0.35109080247541224,-0.001556352156222407,8280000.0,156765000.0,50000000.0,-0.156982403094456,^GSPC,0.13773333623500394,-0.29471573932945994,0.0,2.0,541416000.0,0.021894146581131813,67575000.0,Net income + D&A - maintenance capex,0.2111876208573682,0.209302586392057,0.1478467692245573,Mild multiple expansion,Market cap has grown somewhat faster than revenue over the last 3 years.,0.6995573471749402,-1.3201615745871267,40.0,Weak / inconsistent,True,75.67317046540909,37.83658523270454,Blended 50/50: P/S growth-gap + Owner Earnings Yield (mature-company mode),Fair Value,1.0,0.2708964148517177,0.21888582248610366,0.021894146581131813,0.03011644578448225,61.1,INFRA,0.14,Layer 1: Hard Assets & Global Freight,0.007,"Perpetual tolls on physical commerce: Class I rail networks, port monopolies, Jones Act maritime shipping, and global freight forwarding / contract logistics integration."
ICTEY,2026-08-17T07:15:51.673651+00:00,3750485121.0,34185779200.0,9.115028615520803,5.7747852020095864,5.827946206574069,7.134092976365994,4331821750.0,0.15500304900423045,7.891778834159092,5574278578.517955,0.48628201384029834,0.3312789648360679,2.7499618560919323,68.12486487416423,Forward Expectations Stretched,"Needs 49% growth to look fairly valued by its own history, but analysts only expect 16% -- the price is asking for more growth than is currently forecast.",6.132771930657445,Historical Median Tactical Anchor (ROIC-adjusted),low,5,quarterly,0.5762804563329982,0.5152437769129867,0.3015249170481911,,5.210449411999256,1332284969.0,0.3552300371864347,1.1781117151577234,Solid,USD,USD,1.0,,0.14110646118049797,,0.2325295357765445,-0.001893691143955878,59090532.0,700279913.0,24369118.0,0.721753145156103,^GSPC,0.13773333623500394,0.5840198089210991,,,1130864715.0,0.0330799748159609,377969080.0,Net income + D&A - maintenance capex,,,,Insufficient data,,0.22609275675456864,0.026986442537996952,65.4978374140774,Moderate,False,63.24447242671011,68.12486487416423,P/S growth-gap,Expensive,0.75,0.07902296448824155,0.15500304900423045,0.0330799748159609,-0.1090600593319498,59.3,INFRA,0.14,Layer 1: Hard Assets & Global Freight,0.007,"Perpetual tolls on physical commerce: Class I rail networks, port monopolies, Jones Act maritime shipping, and global freight forwarding / contract logistics integration."
CNI,2026-08-17T07:15:51.673651+00:00,12815869597.650002,76725510144.0,5.986758023666913,5.026652481489349,5.1276247840862235,5.493577568722831,13901813277.512642,0.08473429536625177,5.519100898018102,18452966830.74341,0.439852886309569,0.3551185909433172,4.481965225111686,80.73576461503184,Forward Expectations Stretched,"⚠ Historical P/S converts all past periods at TODAY's FX rate -- percentiles are approximate for foreign-currency reporters (material mainly for high-inflation currencies). Needs 44% growth to look fairly valued by its own history, but analysts only expect 8% -- the price is asking for more growth than is currently forecast. Mature-company read: owner earnings yield (4.5%) is blended 50/50 with the P/S growth-gap for the final classification, since revenue growth alone is a weak value driver here.",4.15789562988712,Historical Median Tactical Anchor (ROIC-adjusted),low,5,quarterly,0.4201903045999662,0.37548561454873036,0.26924159675693937,,7.125,3548000000.0,0.19976352682844434,0.7419489753241322,Solid,CAD,USD,0.72157365,Revenue converted from CAD to USD at 0.7216 to match the share price currency.,0.003823943413180375,,0.11583701500423964,-0.029519815063615895,3007000000.0,2207000000.0,,0.18312618342528886,^GSPC,0.13773333623500394,0.04539284719028491,25.0,0.0,3450565194.2999997,0.04497285437169344,1389750849.8999999,Net income + D&A - maintenance capex,0.05111176294903297,0.02008313809558615,0.016259194682405775,No bubble signal,Market cap growth has not materially outpaced revenue growth over the last 3 years.,0.1262182300557946,-0.024247715739220924,6.792474972089934,Poor,True,50.03016180922951,65.38296321213068,Blended 50/50: P/S growth-gap + Owner Earnings Yield (mature-company mode),Expensive,0.75,0.027878948979431425,0.08473429536625177,0.04497285437169344,-0.10182820075851377,57.4,INFRA,0.14,Layer 1: Hard Assets & Global Freight,0.007,"Perpetual tolls on physical commerce: Class I rail networks, port monopolies, Jones Act maritime shipping, and global freight forwarding / contract logistics integration."
CP,2026-08-17T07:15:51.673651+00:00,11146545267.06,82193907712.0,7.373935667304689,6.407349555456014,6.629451704154857,6.805948490472348,12514158679.640972,0.1226939271150238,6.568072997645426,15290425337.891571,0.3717636246521572,0.24906969753713337,2.73130782025198,66.99679070812184,Forward Expectations Stretched,"⚠ Historical P/S converts all past periods at TODAY's FX rate -- percentiles are approximate for foreign-currency reporters (material mainly for high-inflation currencies). Needs 37% growth to look fairly valued by its own history, but analysts only expect 12% -- the price is asking for more growth than is currently forecast.",5.375514800645427,Historical Median Tactical Anchor (ROIC-adjusted),low,5,quarterly,0.36759660819470513,0.36759660819470513,0.2503074632662308,,6.193020719738277,2403000000.0,0.15554404815845685,0.6214119472459271,Solid,CAD,USD,0.72150594,Revenue converted from CAD to USD at 0.7215 to match the share price currency.,0.19597902823791657,,0.06108788661659565,-0.011927477351666882,4165000000.0,817000000.0,493000000.0,0.11944912636208493,^GSPC,0.13773333623500394,-0.01828420987291901,20.0,4.0,2790063469.98,0.0339448938205509,1481251694.82,Net income + D&A - maintenance capex,0.05901638833304079,0.046384994346154285,-0.1495940338917623,No bubble signal,Market cap growth has not materially outpaced revenue growth over the last 3 years.,0.05760540116307338,0.012684459409967992,9.74018797164134,Poor,False,62.283451310499,66.99679070812184,P/S growth-gap,Expensive,0.75,0.06630167684574738,0.1226939271150238,0.0339448938205509,-0.09033714408982733,66.9,INFRA,0.14,Layer 1: Hard Assets & Global Freight,0.007,"Perpetual tolls on physical commerce: Class I rail networks, port monopolies, Jones Act maritime shipping, and global freight forwarding / contract logistics integration."
UNP,2026-08-17T07:15:51.673651+00:00,25410000000.0,174468087808.0,6.866119158126722,5.582059487623127,5.855256348384378,6.301436879625298,27934170140.0,0.09933766784730413,6.245687161408547,35371065789.029854,0.39201360838370136,0.2926759405363972,3.492331829990603,74.6596378995923,Forward Expectations Stretched,"Needs 39% growth to look fairly valued by its own history, but analysts only expect 10% -- the price is asking for more growth than is currently forecast. Mature-company read: owner earnings yield (4.2%) is blended 50/50 with the P/S growth-gap for the final classification, since revenue growth alone is a weak value driver here.",4.932508645586538,Historical Median Tactical Anchor (ROIC-adjusted),low,5,quarterly,0.45623770169224714,0.4002754820936639,0.28846910665092484,,7.915175097276265,6504000000.0,0.25596221959858323,0.8873124147339699,Solid,USD,USD,1.0,,-0.004915242301498868,,0.15328045760525547,-0.010532738186148416,26000000.0,3277000000.0,,0.1291799185321949,^GSPC,0.13773333623500394,-0.00855341770280904,20.0,0.0,7330000000.0,0.04201341398357375,2513000000.0,Net income + D&A - maintenance capex,0.10978885054558729,0.0980997351408841,0.10301497744238297,Mild multiple expansion,Market cap has grown somewhat faster than revenue over the last 3 years.,0.15143976543276313,-0.012490229229458638,20.908996783498495,Weak / inconsistent,True,53.31842890714027,63.989033403366285,Blended 50/50: P/S growth-gap + Owner Earnings Yield (mature-company mode),Expensive,0.75,0.047479009023850896,0.09933766784730413,0.04201341398357375,-0.09387207280702699,55.1,INFRA,0.14,Layer 1: Hard Assets & Global Freight,0.007,"Perpetual tolls on physical commerce: Class I rail networks, port monopolies, Jones Act maritime shipping, and global freight forwarding / contract logistics integration."
MATX,2026-08-17T07:15:51.673651+00:00,3320300000.0,6498021376.0,1.957058511580279,1.0551373431674245,1.1231876879645524,1.344984173120835,3765179400.0,0.13398771195373915,1.7258198576142214,7698075300.4314375,1.3184878777313607,1.1845001657776215,6.687710569863549,89.8377744523307,Forward Expectations Elevated,"Needs 132% growth to look fairly valued; analysts expect 13% -- covers part of what's required, but the price still leans on the forecast coming through. Mature-company read: owner earnings yield (6.6%) is blended 50/50 with the P/S growth-gap for the final classification, since revenue growth alone is a weak value driver here.",0.8441098745339396,Historical Median Tactical Anchor (ROIC-adjusted),low,5,quarterly,0.22419660874017408,0.13498780230702045,0.12923531006234376,,66.8955223880597,199500000.0,0.0600849320844502,0.46492659053833607,Solid,USD,USD,1.0,,-0.0833987250864302,,0.11643666226595117,-0.057411103568145494,289200000.0,44600000.0,,0.3215992188248946,^GSPC,0.13773333623500394,0.18386588258989067,3.0,0.0,429100000.0,0.06603548606116497,300800000.0,Net income + D&A - maintenance capex,0.33032720999799436,0.25395165676527753,0.33735038185170774,High multiple expansion risk,Market cap growth is far ahead of revenue growth while P/S is near historical highs -- multiple expansion is doing most of the work.,0.1157250164232891,-0.22149868910399878,0.0,Poor,True,26.627237709816697,58.2325060810737,Blended 50/50: P/S growth-gap + Owner Earnings Yield (mature-company mode),Expensive,0.75,0.010461732774967869,0.13398771195373915,0.06603548606116497,-0.18956146523993625,53.3,INFRA,0.14,Layer 1: Hard Assets & Global Freight,0.007,"Perpetual tolls on physical commerce: Class I rail networks, port monopolies, Jones Act maritime shipping, and global freight forwarding / contract logistics integration."
DSV.CO,2026-08-17T07:15:51.673651+00:00,280772000000.0,341445279744.0,1.2160944814440187,1.6593775788131466,1.6825149760299412,1.708383239673643,304766314780.0,0.08545836044904753,1.120351112262775,257208850553.03033,-0.08392271824458875,-0.16938107869363628,0.0,0.0,Forward Expectations Elevated,"Already trades at or below its historical valuation norm (needs 0% growth) -- 9% forecast growth would be upside on top of an already-fair price. Mature-company read: owner earnings yield (2.3%) is blended 50/50 with the P/S growth-gap for the final classification, since revenue growth alone is a weak value driver here.",1.3275020630505174,Historical Median Tactical Anchor (ROIC-adjusted),low,5,quarterly,0.26904392175857994,0.07616144059948998,0.025458379040645077,,5.157742402315485,7818000000.0,0.027844656874617128,1.0937325125909345,Solid,DKK,DKK,1.0,,0.016235796238993183,,0.06656213856806814,0.029611685325740433,0.0,3366000000.0,75790000000.0,-0.12843600876700567,^OMXC25,0.049273787848467254,-0.17770979661547293,3.0,11.0,7818000000.0,0.022896787461409857,2647000000.0,Operating cash flow - maintenance capex,0.033344663557990595,0.06394374056830299,0.047707944329309804,No bubble signal,Market cap growth has not materially outpaced revenue growth over the last 3 years.,0.0999587274428178,-0.12126577646079276,0.0,Poor,True,74.55912504287794,37.27956252143897,Blended 50/50: P/S growth-gap + Owner Earnings Yield (mature-company mode),Fair Value,1.0,0.13889213422372776,0.08545836044904753,0.022896787461409857,0.03053698631327036,60.7,INFRA,0.14,Layer 1: Hard Assets & Global Freight,0.007,"Perpetual tolls on physical commerce: Class I rail networks, port monopolies, Jones Act maritime shipping, and global freight forwarding / contract logistics integration."
ABBN.SW,2026-08-17T07:15:51.673651+00:00,28833427080.0,150104932352.0,5.2059344848437625,4.092571377690204,4.399578736370027,5.056965126476115,33990561780.8904,0.17885958150523118,4.416076830962807,33680413731.105236,0.16810303671696714,-0.010756544788264044,0.9442931852580473,0.0,Forward Expectations Elevated,"⚠ Historical P/S converts all past periods at TODAY's FX rate -- percentiles are approximate for foreign-currency reporters (material mainly for high-inflation currencies). Needs 17% growth to look fairly valued; analysts expect 18% -- covers part of what's required, but the price still leans on the forecast coming through. Mature-company read: owner earnings yield (2.7%) is blended 50/50 with the P/S growth-gap for the final classification, since revenue growth alone is a weak value driver here.",4.456742531442599,Historical Median Tactical Anchor (ROIC-adjusted),low,5,quarterly,0.40086061424232194,0.16931038362020476,0.1400326245921926,,105.6140350877193,4159000000.0,0.11697041286983913,0.8353082948383209,Solid,USD,CHF,0.81093,Revenue converted from USD to CHF at 0.8109 to match the share price currency.,0.04101688440859852,,0.208535889357564,-0.008446808143657059,1317000000.0,4068000000.0,306000000.0,0.1895357723874047,^SSMI,0.05379832468328938,0.13573744770411533,5.0,1.0,4037620470.0,0.02689865287392205,691723290.0,Net income + D&A - maintenance capex,0.37002080853822594,0.35844850561568564,0.3174316212070871,High multiple expansion risk,Market cap growth is far ahead of revenue growth while P/S is near historical highs -- multiple expansion is doing most of the work.,0.2008780875989807,0.054139542932391455,72.24586452771459,High & durable,True,70.11260791786438,35.05630395893219,Blended 50/50: P/S growth-gap + Owner Earnings Yield (mature-company mode),Fair Value,1.0,0.15778785521653185,0.17885958150523118,0.02689865287392205,-0.04797037916262137,59.7,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
SU.PA,2026-08-17T07:15:51.673651+00:00,40152000000.0,172240584704.0,4.289713705519028,2.9026209968760197,3.295788013107079,3.546167235793886,48761215960.0,0.21441561964534772,3.5323275130237337,64029371482.85418,0.5946745238806082,0.38025890423526043,2.4022571468897804,63.94403811917868,Forward Expectations Stretched,"Needs 59% growth to look fairly valued by its own history, but analysts only expect 21% -- the price is asking for more growth than is currently forecast. Mature-company read: owner earnings yield (2.5%) is blended 50/50 with the P/S growth-gap for the final classification, since revenue growth alone is a weak value driver here.",2.6900246045695244,Historical Median Tactical Anchor (ROIC-adjusted),low,4,annual,0.42077605100617654,0.17458657103008568,0.1036810121538155,1.5821786908743432,12.981481481481481,4588000000.0,0.11426578999800757,1.1020898390583713,Solid,EUR,EUR,1.0,,0.05518510129741738,,0.14313225740795238,0.001849637287687056,,2191000000.0,1158000000.0,0.21087407946282188,^FCHI,0.03851377438676118,0.1723603050760607,15.0,0.0,4272000000.0,0.024802516824600572,1543000000.0,Net income + D&A - maintenance capex,0.26173923386655207,0.26407299380084925,0.20888789250343187,Elevated multiple expansion,Market cap growth is outpacing revenue growth and the current multiple is above its historical 75th percentile -- expansion risk is elevated.,0.13394763843959495,0.013639891877217591,31.689273889417137,Weak / inconsistent,True,72.44164797266603,68.19284304592236,Blended 50/50: P/S growth-gap + Owner Earnings Yield (mature-company mode),Expensive,0.75,0.11491387354665286,0.21441561964534772,0.024802516824600572,-0.12430426292329544,51.0,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
ETN,2026-08-17T07:15:51.673651+00:00,30025000000.0,175321333760.0,5.839178476602831,4.933668120421668,5.116136917676011,5.131194314111282,36521104810.0,0.2163565298917569,4.800548468402153,35117324639.34391,0.16960281896232843,-0.04675371092942848,0.7998788348906378,0.0,Forward Expectations Elevated,"Needs 17% growth to look fairly valued; analysts expect 22% -- covers part of what's required, but the price still leans on the forecast coming through. Mature-company read: owner earnings yield (2.3%) is blended 50/50 with the P/S growth-gap for the final classification, since revenue growth alone is a weak value driver here.",4.992445625074117,Historical Median Tactical Anchor (ROIC-adjusted),low,5,quarterly,0.35903413821815156,0.1770857618651124,0.1275270607826811,,11.975225225225225,3934000000.0,0.13102414654454622,1.0274223034734917,Solid,USD,USD,1.0,,0.09769979247934413,,0.14729047965229802,-0.008365410904862536,555000000.0,1666000000.0,11135000000.0,0.16295931338687453,^GSPC,0.13773333623500394,0.025225977151870582,18.0,0.0,3997000000.0,0.02279813822014127,1016000000.0,Net income + D&A - maintenance capex,0.28855567707435315,0.27777637936183286,0.18007658688248873,Elevated multiple expansion,Market cap has grown somewhat faster than revenue over the last 3 years.,0.13384090100316157,0.049171558936379964,52.978387642713216,Moderate,True,74.66873531095415,37.334367655477074,Blended 50/50: P/S growth-gap + Owner Earnings Yield (mature-company mode),Fair Value,1.0,0.1908183678988053,0.2163565298917569,0.02279813822014127,-0.048336300213092875,63.2,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
